src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_iat_min,tot_fwd_pkts,fwd_seg_size_min,target,
192.168.1.193,192.168.40.20,33542,1883,6,71.04873657,0,1,20,0,
192.168.1.198,192.168.40.20,25044,1883,6,36.4780426,0,1,20,0,
192.168.1.128,192.168.40.20,16534,1883,6,56.98204041,0,1,20,0,
192.168.1.77,192.168.40.20,62491,1883,6,29.08706665,0,1,20,0,
192.168.1.114,192.168.40.20,32748,1883,6,49.82948303,0,1,20,0,
192.168.1.220,192.168.40.20,48592,1883,6,44.34585571,0,1,20,0,
192.168.1.80,192.168.40.20,56426,1883,6,63.8961792,0,1,20,0,
192.168.1.214,192.168.40.20,40463,1883,6,69.85664368,0,1,20,0,
192.168.1.45,192.168.40.20,57436,1883,6,48.39897156,0,1,20,0,
192.168.1.99,192.168.40.20,24187,1883,6,53.88259888,0,1,20,0,
192.168.1.204,192.168.40.20,42641,1883,6,36.95487976,0,1,20,0,
192.168.1.237,192.168.40.20,33793,1883,6,54.59785461,0,1,20,0,
192.168.1.21,192.168.40.20,61295,1883,6,46.96846008,0,1,20,0,
192.168.1.3,192.168.40.20,28459,1883,6,57.22045898,0,1,20,0,
192.168.1.138,192.168.40.20,64806,1883,6,31.23283386,0,1,20,0,
192.168.1.72,192.168.40.20,25354,1883,6,40.05432129,0,1,20,0,
192.168.1.48,192.168.40.20,60386,1883,6,49.59106445,0,1,20,0,
192.168.1.145,192.168.40.20,48099,1883,6,66.75720215,0,1,20,0,
192.168.1.98,192.168.40.20,11265,1883,6,53.6441803,0,1,20,0,
192.168.1.78,192.168.40.20,22767,1883,6,44.10743713,0,1,20,0,
192.168.1.122,192.168.40.20,35159,1883,6,50.30632019,0,1,20,0,
192.168.1.183,192.168.40.20,58951,1883,6,69.37980652,0,1,20,0,
192.168.1.22,192.168.40.20,50575,1883,6,36.95487976,0,1,20,0,
192.168.1.217,192.168.40.20,54107,1883,6,37.19329834,0,1,20,0,
192.168.1.98,192.168.40.20,26250,1883,6,83.92333984,0,1,20,0,
192.168.1.129,192.168.40.20,35171,1883,6,53.6441803,0,1,20,0,
192.168.1.69,192.168.40.20,11500,1883,6,71.28715515,0,1,20,0,
192.168.1.101,192.168.40.20,47557,1883,6,42.2000885,0,1,20,0,
192.168.1.97,192.168.40.20,42296,1883,6,32.18650818,0,1,20,0,
192.168.1.110,192.168.40.20,64047,1883,6,64.84985352,0,1,20,0,
192.168.1.146,192.168.40.20,33689,1883,6,123.2624054,0,1,20,0,
192.168.1.0,192.168.40.20,7071,1883,6,8.344650269,0,1,20,0,
192.168.1.241,192.168.40.20,8588,1883,6,20.26557922,0,1,20,0,
192.168.1.199,192.168.40.20,33822,1883,6,5.722045898,0,1,20,0,
